LAKE CODE (MIDAS),LAKE NAME,TOWN(S),SCIENTIFIC NAME,COMMON NAME
0002,Indian Pond,Lexington Twp,Catostomus commersoni,White sucker
0002,Indian Pond,Lexington Twp,Esox niger,Chain pickerel
0002,Indian Pond,Lexington Twp,Lepomis auritus,Redbreast sunfish
0002,Indian Pond,Lexington Twp,Lepomis gibbosus,Pumpkinseed
0002,Indian Pond,Lexington Twp,Rhinichthys atratulus,Blacknose dace
0003,Pineo Pond,Deblois,Notemigonus crysoleucas,Golden shiner
0003,Pineo Pond,Deblois,Salvelinus fontinalis,Brook trout
0004,Gilman Pond,"New Portland, Lexington Twp",Ameiurus nebulosus,Brown bullhead
0004,Gilman Pond,"New Portland, Lexington Twp",Catostomus commersoni,White sucker
0004,Gilman Pond,"New Portland, Lexington Twp",Esox niger,Chain pickerel
0004,Gilman Pond,"New Portland, Lexington Twp",Lepomis gibbosus,Pumpkinseed
0004,Gilman Pond,"New Portland, Lexington Twp",Notemigonus crysoleucas,Golden shiner
0004,Gilman Pond,"New Portland, Lexington Twp",Salmo trutta,Brown trout
0004,Gilman Pond,"New Portland, Lexington Twp",Salvelinus fontinalis,Brook trout
0004,Gilman Pond,"New Portland, Lexington Twp",Semotilus corporalis,Fallfish
0006,Safford Pond,Lexington Twp,Esox niger,Chain pickerel
0006,Safford Pond,Lexington Twp,Lepomis gibbosus,Pumpkinseed
0006,Safford Pond,Lexington Twp,Rhinichthys atratulus,Blacknose dace
0007,Estes Lake,"Alfred, Sanford",Ameiurus nebulosus,Brown bullhead
0007,Estes Lake,"Alfred, Sanford",Anguilla rostrata,American eel
0007,Estes Lake,"Alfred, Sanford",Catostomus commersoni,White sucker
0007,Estes Lake,"Alfred, Sanford",Esox lucius,Northern pike
0007,Estes Lake,"Alfred, Sanford",Esox niger,Chain pickerel
0007,Estes Lake,"Alfred, Sanford",Lepomis gibbosus,Pumpkinseed
0007,Estes Lake,"Alfred, Sanford",Micropterus dolomieu,Smallmouth bass
0007,Estes Lake,"Alfred, Sanford",Micropterus salmoides,Largemouth bass
0007,Estes Lake,"Alfred, Sanford",Morone americana,White perch
0007,Estes Lake,"Alfred, Sanford",Notemigonus crysoleucas,Golden shiner
0007,Estes Lake,"Alfred, Sanford",Perca flavescens,Yellow perch
0007,Estes Lake,"Alfred, Sanford",Pomoxis nigromaculatus,Black crappie
0007,Estes Lake,"Alfred, Sanford",Rhinichthys atratulus,Blacknose dace
