WATCODE,STATE HERITAGE FISH WATER,ALTERNATE NAME,TOWN,COUNTY,REGION,STATE HERITAGE FISH,*LAST YEAR STOCKED
3865,COLDWATER P,,KENNEBUNK,YORK,A,BKT,1967
6969,KENNEBUNK PLAINS P,,KENNEBUNK,YORK,A,BKT,1971
7614,MT ZIRCON RESERVOIR,,RUMFORD,OXFORD,A,BKT,NRS
5012,SAND P,,LIMINGTON,YORK,A,BKT,1974
3906,SPICER P,,SHAPLEIGH,YORK,A,BKT,NRS
4288,BURNT P,,OTIS,HANCOCK,C,BKT,NRS
4570,DUTTON P,,AMHERST,HANCOCK,C,BKT,1978
1090,FLOOD L,,TALMADGE,WASHINGTON,C,BKT,NRS
1092,FLOOD L (UPPER),,TALMADGE,WASHINGTON,C,BKT,NRS
7429,FOSTER L,,MARION TWP,WASHINGTON,C,BKT,NRS
4668,GOOSE P,,SWANS ISLAND,HANCOCK,C,BKT,NRS
4496,HALFMILE P,,AURORA,HANCOCK,C,BKT,NRS
4558,HALFMILE P,,AMHERST,HANCOCK,C,BKT,1938
4306,HARRIMAN P,,DEDHAM,HANCOCK,C,BKT,1973
4290,HATCASE P,,DEDHAM,HANCOCK,C,BKT,1974
4576,LITTLE JELLISON HILL P,,AMHERST,HANCOCK,C,BKT,NRS
447,LONG P,LITTLE LONG POND,MOUNT DESERT,HANCOCK,C,BKT,1985
4414,NARRAGUAGUS L,,T10 SD,HANCOCK,C,BKT,1985
4656,NOYES (NORRIS) P,,BLUE HILL,HANCOCK,C,BKT,1938
4572,SPRING BROOK P,,AMHERST,HANCOCK,C,BKT,NRS
3360,ABBIE P,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
3332,ARNOLD P,,COBURN GORE,FRANKLIN,D,BKT,1955
242,BAKER P,,CARATUNK,SOMERSET,D,BKT,1969
5110,BAKER P,,T5 R6 BKP WKR,SOMERSET,D,BKT,1972
272,BAKER FLOWAGE,,MAYFIELD TWP,SOMERSET,D,BKT,NRS
3118,BARKER P,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
3562,BEAVER MOUNTAIN L,LONG P,SANDY RIVER PLT,FRANKLIN,D,BKT,1986
3114,BEAVER P,,PARMACHENEE TWP,OXFORD,D,BKT,NRS
3310,BEAVER P,BEAVER P (BIG),MAGALLOWAY PLT,OXFORD,D,BKT,1984
3354,BEAVER P,,SEVEN PONDS TWP,FRANKLIN,D,BKT,NRS
5142,BECK P,,T3 R5 BKP WKR,SOMERSET,D,BKT,1968
2323,BEN GILE P,,LANG TWP,FRANKLIN,D,BKT,NRS
3108,BILLINGS P #1,,PARMACHENEE TWP,OXFORD,D,BKT,NRS
3110,BILLINGS P #2,,PARMACHENEE TWP,OXFORD,D,BKT,NRS
3508,BIRCH P,,ROXBURY,OXFORD,D,BKT,NRS
7724,BLACK P (LOWER),,OXBOW TWP,OXFORD,D,BKT,NRS
3362,BLACK P (UPPER),,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
5114,BLAKESLEE L,BLAKESLEY L,T5 R6 BKP WKR,SOMERSET,D,BKT,NRS
2366,BLANCHARD P (No. 1),,LANG TWP,FRANKLIN,D,BKT,1970
3346,BOUNDARY P (SOUTH),,MASSACHUSETTS GORE,FRANKLIN,D,BKT,NRS
3120,BOWMAN P NO. 1,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
56,BUTLER P,,LEXINGTON TWP,SOMERSET,D,BKT,1980
5132,BUTLER P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1972
3278,C POND,,C SURPLUS,OXFORD,D,BKT,1968
176,CARIBOU P,,MOUNT ABRAM TWP,FRANKLIN,D,BKT,NRS
44,CARRY P (EAST),,CARRYING PLACE TOWN TWP,SOMERSET,D,BKT,1955
46,CARRY P (MIDDLE),,CARRYING PLACE TOWN TWP,SOMERSET,D,BKT,1945
48,CARRY P (WEST),,CARRYING PLACE TOWN TWP,SOMERSET,D,BKT,1957
5144,CEDAR P,,T3 R5 BKP WKR,SOMERSET,D,BKT,NRS
228,CHASE BOG,,CARATUNK,SOMERSET,D,BKT,NRS
3330,CROSBY P,,COBURN GORE,FRANKLIN,D,BKT,1955
7726,CUPSUPTIC P,,OXBOW TWP,OXFORD,D,BKT,NRS
5112,DAVIS P,,T5 R6 BKP WKR,SOMERSET,D,BKT,1971
16,DAY MOUNTAIN P,,AVON,FRANKLIN,D,BKT,1981
4066,DEAD STREAM P,,WEST FORKS PLT,SOMERSET,D,BKT,NRS
232,DECKER P #1,,CARATUNK,SOMERSET,D,BKT,1917
230,DECKER P #2,,CARATUNK,SOMERSET,D,BKT,1917
3366,DEER P,,BOWMANTOWN TWP,OXFORD,D,BKT,NRS
5128,DEER P,,KING & BARTLETT TWP,SOMERSET,D,BKT,NRS
2378,DILL P,,DALLAS PLT,FRANKLIN,D,BKT,NRS
9911,DIXON P,,PIERCE POND TWP,SOMERSET,D,BKT,NRS
5044,DOUGLASS P,,KIBBY TWP,FRANKLIN,D,BKT,NRS
4086,ELLIS P,,CHASE STREAM TWP,SOMERSET,D,BKT,1955
142,ENCHANTED P (Lower),,LOWER ENCHANTED TWP,SOMERSET,D,BKT,NRS
5134,EVERETT P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1945
5120,FELKER P,,KING & BARTLETT TWP,SOMERSET,D,BKT,1972
96,FISH P,,PIERCE POND TWP,SOMERSET,D,BKT,NRS
2372,FLATIRON P,,DAVIS TWP,FRANKLIN,D,BKT,NRS
4089,FLATIRON P,,CHASE STREAM TWP,SOMERSET,D,BKT,NRS
4074,FRYPAN P,,SQUARETOWN TWP,SOMERSET,D,BKT,NRS
146,GORDON P,,UPPER ENCHANTED TWP,SOMERSET,D,BKT,NRS
3348,GRANTS P,,MASSACHUSETTS GORE,FRANKLIN,D,BKT,NRS
