LAKE CODE (MIDAS),LAKE NAME,TOWN(S),STATION,YEAR,MIN_SEC,MIN_SEC_BOTTOM?,MEAN_SEC,MEAN_SEC_BOTTOM?,MAX_SEC,MAX_SEC_BOTTOM?,NUM_MONTHS_SECCHI,MIN_COL,MEAN_COL,MAX_COL,MIN_CHLA,MEAN_CHLA,MAX_CHLA,PH,ALKALINITY,CONDUCTIVITY,TPHOS_EC,TPHOS_SG,TPHOS_BG,TPHOS_PG,TSI_SEC,TSI_CHL,TSI_TPEC,TSI_TPPG
0001,Solon Flowage,Solon,1,2018,7,,7,,7,,1,17,17,17,1,1,1,7.26,12,34,7,,,,,,,
-1,"Skiff Lake, NB",,1,1992,6,,6.9,*,8.5,*,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,1993,6.5,,7.3,,7.9,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,1994,5.5,,6.8,,7.5,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,1995,6.2,,7.3,,8.5,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,1996,5.6,,6.7,,8,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,1997,6.2,,6.9,,8.4,,2,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,1998,7,,7.8,,8.9,,4,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2000,5.8,,6.8,,8.7,,6,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2001,6.6,,7.5,,9.9,,6,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2002,5.9,,7.1,,9.7,,6,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2003,6.9,,7.9,,9.2,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2004,6,,8.1,,9.5,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2005,6,,7.7,,9.6,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2006,5.9,,6.8,,7.7,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2007,6.7,,8.3,,10,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2008,6.8,,7.8,,8.5,,5,,,,,,,,,,,,,,,,,
-1,"Skiff Lake, NB",,1,2009,6.5,,7.7,,8.5,,5,,,,,,,,,,,,,,,,,
